Date,Open,High,Low,Close,Adj Close,Volume
2023-04-03,11260.000000,11282.000000,11172.000000,11270.000000,11024.715820,1660237
2023-04-04,11320.000000,11356.000000,11194.000000,11244.000000,10999.281250,1885935
2023-04-05,11244.000000,11628.000000,11230.799805,11594.000000,11341.664063,2157931
2023-04-06,11620.000000,11734.599609,11590.000000,11700.000000,11445.357422,1203186
2023-04-11,11738.000000,11786.000000,11574.000000,11630.000000,11376.879883,4498431
2023-04-12,11664.000000,11872.000000,11614.000000,11822.000000,11564.702148,3148358
2023-04-13,11850.000000,11916.000000,11792.000000,11916.000000,11656.656250,1407991
2023-04-14,11950.000000,11990.000000,11878.000000,11892.000000,11633.178711,1644644
2023-04-17,11878.000000,11932.000000,11820.000000,11824.000000,11566.658203,1092430
2023-04-18,11914.000000,12392.000000,11860.000000,12040.000000,11777.957031,2047219
2023-04-19,11994.000000,12037.040039,11948.000000,11992.000000,11731.001953,1072912
2023-04-20,11976.000000,12056.000000,11941.440430,12010.000000,11748.610352,2691006
2023-04-21,12022.000000,12232.000000,12022.000000,12186.000000,11920.779297,1604980
2023-04-24,12152.000000,12202.000000,12122.066406,12164.000000,11899.257813,1344950
2023-04-25,12112.000000,12348.000000,12112.000000,12294.000000,12026.428711,1694844
2023-04-26,12164.000000,12210.000000,11778.000000,11844.000000,11586.222656,3561383
2023-04-27,11910.000000,12146.000000,11754.000000,11796.000000,11539.267578,1400645
2023-04-28,11816.000000,11856.000000,11640.000000,11746.000000,11490.355469,1622067
2023-05-02,11726.000000,11856.000000,11652.000000,11774.000000,11517.746094,1794124
2023-05-03,11844.000000,11904.900391,11778.000000,11884.000000,11625.352539,1005207
2023-05-04,11842.000000,11878.000000,11756.000000,11850.000000,11592.092773,1292780
2023-05-05,11874.000000,11922.000000,11714.000000,11922.000000,11662.525391,877124
2023-05-09,11956.000000,11956.000000,11786.000000,11914.000000,11654.699219,1685343
2023-05-10,11836.000000,11846.000000,11752.000000,11820.000000,11562.745117,1262452
2023-05-11,11882.000000,12002.000000,11868.000000,11924.000000,11664.481445,2240297
2023-05-12,11958.000000,12090.000000,11922.000000,12010.000000,11748.610352,1550380
2023-05-15,12050.000000,12070.000000,11974.000000,12000.000000,11738.827148,776116
2023-05-16,12042.000000,12102.000000,11992.000000,12070.000000,11807.303711,1187703
2023-05-17,12120.000000,12184.000000,11866.000000,11924.000000,11664.481445,1555565
2023-05-18,11970.000000,12096.000000,11970.000000,11978.000000,11717.306641,1230986
2023-05-19,12026.000000,12076.000000,11936.015625,12010.000000,11748.610352,1312211
2023-05-22,12064.000000,12108.000000,11994.000000,12036.000000,11774.043945,1774287
2023-05-23,11970.000000,12186.000000,11942.000000,12034.000000,11772.087891,1644235
2023-05-24,11878.000000,11932.000000,11687.098633,11794.000000,11537.311523,2075369
2023-05-25,11756.000000,11822.000000,11590.000000,11642.000000,11388.619141,1076348
2023-05-26,11690.000000,11832.000000,11636.000000,11784.000000,11527.529297,1441890
2023-05-30,11780.000000,11840.000000,11498.000000,11498.000000,11247.752930,1980999
2023-05-31,11466.000000,11766.000000,11464.000000,11660.000000,11406.227539,4150407
2023-06-01,11726.000000,11781.599609,11520.000000,11670.000000,11416.009766,1609544
2023-06-02,11636.000000,11754.000000,11530.000000,11748.000000,11492.311523,1544750
2023-06-05,11722.000000,11818.000000,11692.000000,11794.000000,11537.311523,927474
